Date,Description,Amount
01/08/2026,DAILY SALES CASH REGISTER,1310.00
01/08/2026,METRO CASH AND CARRY,-478.00
01/08/2026,IMPERIAL TOBACCO SUPPLY,-867.00
02/08/2026,DAILY SALES CARD RECEIPTS,1190.00
02/08/2026,BOOKER WHOLESALE,-612.00
02/08/2026,ROYAL MAIL POSTAGE,-16.00
03/08/2026,DAILY SALES CASH REGISTER,1420.00
03/08/2026,COCA COLA ENTERPRISES,-245.00
03/08/2026,CARD TERMINAL FEES SUMUP,-14.20
04/08/2026,DAILY SALES CARD RECEIPTS,1050.00
04/08/2026,HMRC PAYE AUGUST,-720.00
04/08/2026,SALARY TRANSFER AHMED KHAN,-1200.00
05/08/2026,DAILY SALES CASH REGISTER,1380.00
05/08/2026,METRO CASH AND CARRY,-534.00
05/08/2026,BARCLAYS BANK CHARGE,-8.00
06/08/2026,DAILY SALES CARD RECEIPTS,1560.00
06/08/2026,IMPERIAL TOBACCO SUPPLY,-912.00
06/08/2026,EDF ENERGY,-98.00
07/08/2026,DAILY SALES CASH REGISTER,1290.00
07/08/2026,BOOKER WHOLESALE,-689.00
07/08/2026,CARD TERMINAL FEES SUMUP,-12.90
08/08/2026,DAILY SALES CARD RECEIPTS,1470.00
08/08/2026,COCA COLA ENTERPRISES,-212.00
08/08/2026,BRITISH GAS BUSINESS,-143.00
09/08/2026,DAILY SALES CASH REGISTER,1130.00
09/08/2026,METRO CASH AND CARRY,-501.00
09/08/2026,WEEKLY LOTTERY TERMINAL FEE,-45.00
10/08/2026,DAILY SALES CARD RECEIPTS,1640.00
10/08/2026,IMPERIAL TOBACCO SUPPLY,-934.00
10/08/2026,SALARY TRANSFER PRIYA PATEL,-1100.00
11/08/2026,DAILY SALES CASH REGISTER,1080.00
11/08/2026,BOOKER WHOLESALE,-645.00
11/08/2026,SHOP INSURANCE AVIVA,-110.00
12/08/2026,DAILY SALES CARD RECEIPTS,1350.00
12/08/2026,COCA COLA ENTERPRISES,-198.00
12/08/2026,CARD TERMINAL FEES SUMUP,-13.50
13/08/2026,DAILY SALES CASH REGISTER,1490.00
13/08/2026,METRO CASH AND CARRY,-512.00
13/08/2026,BT BUSINESS BROADBAND,-45.00
14/08/2026,DAILY SALES CARD RECEIPTS,1220.00
14/08/2026,IMPERIAL TOBACCO SUPPLY,-878.00
14/08/2026,ATM CASH WITHDRAWAL,-200.00
15/08/2026,DAILY SALES CASH REGISTER,1560.00
15/08/2026,BOOKER WHOLESALE,-723.00
15/08/2026,BUSINESS RATES PAYMENT,-340.00
16/08/2026,DAILY SALES CARD RECEIPTS,1090.00
16/08/2026,SALARY TRANSFER AHMED KHAN,-1200.00
16/08/2026,BARCLAYS BANK CHARGE,-8.00
17/08/2026,DAILY SALES CASH REGISTER,1430.00
17/08/2026,COCA COLA ENTERPRISES,-267.00
17/08/2026,VODAFONE BUSINESS,-35.00
18/08/2026,DAILY SALES CARD RECEIPTS,1270.00
18/08/2026,IMPERIAL TOBACCO SUPPLY,-956.00
18/08/2026,CARD TERMINAL FEES SUMUP,-12.70
19/08/2026,DAILY SALES CASH REGISTER,1180.00
19/08/2026,METRO CASH AND CARRY,-489.00
19/08/2026,ROYAL MAIL POSTAGE,-19.00
20/08/2026,DAILY SALES CARD RECEIPTS,1620.00
20/08/2026,BOOKER WHOLESALE,-667.00
20/08/2026,WEEKLY LOTTERY TERMINAL FEE,-45.00
21/08/2026,DAILY SALES CASH REGISTER,1340.00
21/08/2026,IMPERIAL TOBACCO SUPPLY,-901.00
21/08/2026,SHOP CCTV SYSTEM UPGRADE,-3000.00
22/08/2026,DAILY SALES CARD RECEIPTS,1510.00
22/08/2026,COCA COLA ENTERPRISES,-234.00
22/08/2026,DIRECTOR DRAWINGS AUGUST,-1500.00
23/08/2026,DAILY SALES CASH REGISTER,1260.00
23/08/2026,METRO CASH AND CARRY,-523.00
23/08/2026,CARD TERMINAL FEES SUMUP,-12.60
24/08/2026,DAILY SALES CARD RECEIPTS,1400.00
24/08/2026,BOOKER WHOLESALE,-598.00
24/08/2026,EDF ENERGY,-67.00
25/08/2026,DAILY SALES CASH REGISTER,1670.00
25/08/2026,IMPERIAL TOBACCO SUPPLY,-889.00
25/08/2026,SALARY TRANSFER PRIYA PATEL,-1100.00
26/08/2026,DAILY SALES CARD RECEIPTS,1150.00
26/08/2026,METRO CASH AND CARRY,-467.00
26/08/2026,ATM CASH WITHDRAWAL,-150.00
27/08/2026,DAILY SALES CASH REGISTER,1480.00
27/08/2026,COCA COLA ENTERPRISES,-223.00
27/08/2026,UNKNOWN PAYMENT REF 9934,-850.00
28/08/2026,DAILY SALES CARD RECEIPTS,1730.00
28/08/2026,BOOKER WHOLESALE,-712.00
28/08/2026,BARCLAYS BANK CHARGE,-8.00
29/08/2026,DAILY SALES CASH REGISTER,1320.00
29/08/2026,IMPERIAL TOBACCO SUPPLY,-923.00
29/08/2026,BUSINESS RATES PAYMENT,-340.00
30/08/2026,DAILY SALES CARD RECEIPTS,1460.00
30/08/2026,METRO CASH AND CARRY,-545.00
30/08/2026,CARD TERMINAL FEES SUMUP,-14.60
31/08/2026,DAILY SALES CASH REGISTER,1590.00
31/08/2026,BOOKER WHOLESALE,-634.00
31/08/2026,WEEKLY LOTTERY TERMINAL FEE,-45.00
31/08/2026,TRANSFER TO SAVINGS,-2000.00
31/08/2026,DAILY SALES CARD RECEIPTS,1410.00
