dataset,id,description,amount,true_category,rule_prediction,rule_correct,claude_prediction,claude_confidence,claude_correct
Dataset 1 — Clean Business,1,CLIENT PAYMENT REF 441,4500.0,Revenue,Revenue,True,Revenue,0.97,True
Dataset 1 — Clean Business,2,CLIENT PAYMENT REF 442,3200.0,Revenue,Revenue,True,Revenue,0.97,True
Dataset 1 — Clean Business,3,CLIENT RETAINER ACME LTD,2800.0,Revenue,Other,False,Revenue,0.97,True
Dataset 1 — Clean Business,4,CLIENT PAYMENT REF 443,5000.0,Revenue,Revenue,True,Revenue,0.95,True
Dataset 1 — Clean Business,5,BACS RECEIPT BETA SOLUTIONS,1800.0,Revenue,Revenue,True,Revenue,0.92,True
Dataset 1 — Clean Business,6,CLIENT PAYMENT REF 444,3600.0,Revenue,Revenue,True,Revenue,0.97,True
Dataset 1 — Clean Business,7,INVOICE PAYMENT GAMMA CORP,2200.0,Revenue,Revenue,True,Revenue,0.72,True
Dataset 1 — Clean Business,8,CLIENT RETAINER DELTA INC,4000.0,Revenue,Other,False,Revenue,0.97,True
Dataset 1 — Clean Business,9,BACS RECEIPT EPSILON LTD,1500.0,Revenue,Revenue,True,Revenue,0.92,True
Dataset 1 — Clean Business,10,CLIENT PAYMENT REF 445,6000.0,Revenue,Revenue,True,Revenue,0.95,True
Dataset 1 — Clean Business,11,SALARY TRANSFER JANE DOE,-2800.0,Payroll,Other,False,Payroll,0.99,True
Dataset 1 — Clean Business,12,SALARY TRANSFER JOHN SMITH,-2400.0,Payroll,Other,False,Payroll,0.99,True
Dataset 1 — Clean Business,13,HMRC PAYE MARCH,-1200.0,Payroll,Payroll,True,Payroll,0.97,True
Dataset 1 — Clean Business,14,BACS SALARY JAMES WILSON,-3000.0,Payroll,Payroll,True,Payroll,0.99,True
Dataset 1 — Clean Business,15,STAFF WAGES APRIL,-2600.0,Payroll,Payroll,True,Payroll,0.99,True
Dataset 1 — Clean Business,16,HMRC VAT Q1 2026,-2100.0,VAT Payment,VAT Payment,True,VAT Payment,0.99,True
Dataset 1 — Clean Business,17,HMRC VAT Q4 2025,-1950.0,VAT Payment,VAT Payment,True,VAT Payment,0.99,True
Dataset 1 — Clean Business,18,VAT PAYMENT MARCH 2026,-2400.0,VAT Payment,VAT Payment,True,VAT Payment,0.99,True
Dataset 1 — Clean Business,19,ADOBE CREATIVE CLOUD,-54.99,Software & Subscriptions,Software & Subscriptions,True,Software & Subscriptions,0.99,True
Dataset 1 — Clean Business,20,SLACK TECHNOLOGIES,-15.0,Software & Subscriptions,Software & Subscriptions,True,Software & Subscriptions,0.99,True
Dataset 1 — Clean Business,21,ZOOM VIDEO COMMUNICATIONS,-15.99,Software & Subscriptions,Software & Subscriptions,True,Software & Subscriptions,0.99,True
Dataset 1 — Clean Business,22,GOOGLE WORKSPACE,-28.0,Software & Subscriptions,Software & Subscriptions,True,Software & Subscriptions,0.99,True
Dataset 1 — Clean Business,23,MICROSOFT OFFICE 365,-12.99,Software & Subscriptions,Software & Subscriptions,True,Software & Subscriptions,0.99,True
Dataset 1 — Clean Business,24,DROPBOX BUSINESS,-16.99,Software & Subscriptions,Software & Subscriptions,True,Software & Subscriptions,0.99,True
Dataset 1 — Clean Business,25,GITHUB SUBSCRIPTION,-9.99,Software & Subscriptions,Software & Subscriptions,True,Software & Subscriptions,0.99,True
Dataset 1 — Clean Business,26,NOTION SO,-10.0,Software & Subscriptions,Software & Subscriptions,True,Software & Subscriptions,0.99,True
Dataset 1 — Clean Business,27,XERO ACCOUNTING,-35.0,Software & Subscriptions,Software & Subscriptions,True,Software & Subscriptions,0.99,True
Dataset 1 — Clean Business,28,SHOPIFY MONTHLY,-29.0,Software & Subscriptions,Software & Subscriptions,True,Software & Subscriptions,0.99,True
Dataset 1 — Clean Business,29,TESCO METRO LONDON,-45.5,Supplies,Supplies,True,Supplies,0.72,True
Dataset 1 — Clean Business,30,SAINSBURYS SUPERSTORE,-67.8,Supplies,Supplies,True,Supplies,0.6,True
Dataset 1 — Clean Business,31,AMAZON MARKETPLACE,-89.99,Supplies,Supplies,True,Supplies,0.72,True
Dataset 1 — Clean Business,32,STAPLES OFFICE SUPPLIES,-127.5,Supplies,Supplies,True,Supplies,0.97,True
Dataset 1 — Clean Business,33,RYMAN STATIONERY,-34.2,Supplies,Supplies,True,Supplies,0.97,True
Dataset 1 — Clean Business,34,IKEA BUSINESS,-245.0,Supplies,Supplies,True,Supplies,0.82,True
Dataset 1 — Clean Business,35,SCREWFIX DIRECT,-78.4,Supplies,Supplies,True,Supplies,0.92,True
Dataset 1 — Clean Business,36,WH SMITH,-22.5,Supplies,Supplies,True,Supplies,0.72,True
Dataset 1 — Clean Business,37,BRITISH GAS BUSINESS,-143.0,Utilities,Utilities,True,Utilities,0.99,True
Dataset 1 — Clean Business,38,EDF ENERGY,-98.0,Utilities,Utilities,True,Utilities,0.99,True
Dataset 1 — Clean Business,39,BT BUSINESS BROADBAND,-67.0,Utilities,Utilities,True,Utilities,0.97,True
Dataset 1 — Clean Business,40,VODAFONE BUSINESS,-55.0,Utilities,Utilities,True,Utilities,0.85,True
Dataset 1 — Clean Business,41,THAMES WATER,-45.0,Utilities,Utilities,True,Utilities,0.98,True
Dataset 1 — Clean Business,42,SKY BROADBAND BUSINESS,-49.99,Utilities,Utilities,True,Utilities,0.92,True
Dataset 1 — Clean Business,43,UBER BUSINESS TRAVEL,-28.0,Travel & Transport,Travel & Transport,True,Travel & Transport,0.97,True
