id,description,amount,true_category
1,CLIENT PAYMENT REF 441,4500.00,Revenue
2,CLIENT PAYMENT REF 442,3200.00,Revenue
3,CLIENT RETAINER ACME LTD,2800.00,Revenue
4,CLIENT PAYMENT REF 443,5000.00,Revenue
5,BACS RECEIPT BETA SOLUTIONS,1800.00,Revenue
6,CLIENT PAYMENT REF 444,3600.00,Revenue
7,INVOICE PAYMENT GAMMA CORP,2200.00,Revenue
8,CLIENT RETAINER DELTA INC,4000.00,Revenue
9,BACS RECEIPT EPSILON LTD,1500.00,Revenue
10,CLIENT PAYMENT REF 445,6000.00,Revenue
11,SALARY TRANSFER JANE DOE,-2800.00,Payroll
12,SALARY TRANSFER JOHN SMITH,-2400.00,Payroll
13,HMRC PAYE MARCH,-1200.00,Payroll
14,BACS SALARY JAMES WILSON,-3000.00,Payroll
15,STAFF WAGES APRIL,-2600.00,Payroll
16,HMRC VAT Q1 2026,-2100.00,VAT Payment
17,HMRC VAT Q4 2025,-1950.00,VAT Payment
18,VAT PAYMENT MARCH 2026,-2400.00,VAT Payment
19,ADOBE CREATIVE CLOUD,-54.99,Software & Subscriptions
20,SLACK TECHNOLOGIES,-15.00,Software & Subscriptions
21,ZOOM VIDEO COMMUNICATIONS,-15.99,Software & Subscriptions
22,GOOGLE WORKSPACE,-28.00,Software & Subscriptions
23,MICROSOFT OFFICE 365,-12.99,Software & Subscriptions
24,DROPBOX BUSINESS,-16.99,Software & Subscriptions
25,GITHUB SUBSCRIPTION,-9.99,Software & Subscriptions
26,NOTION SO,-10.00,Software & Subscriptions
27,XERO ACCOUNTING,-35.00,Software & Subscriptions
28,SHOPIFY MONTHLY,-29.00,Software & Subscriptions
29,TESCO METRO LONDON,-45.50,Supplies
30,SAINSBURYS SUPERSTORE,-67.80,Supplies
31,AMAZON MARKETPLACE,-89.99,Supplies
32,STAPLES OFFICE SUPPLIES,-127.50,Supplies
33,RYMAN STATIONERY,-34.20,Supplies
34,IKEA BUSINESS,-245.00,Supplies
35,SCREWFIX DIRECT,-78.40,Supplies
