Date,Description,Amount
01/07/2026,DAILY SALES CASH REGISTER,1240.00
01/07/2026,METRO CASH AND CARRY,-456.00
01/07/2026,CARD TERMINAL FEES SUMUP,-12.40
02/07/2026,DAILY SALES CASH REGISTER,980.00
02/07/2026,ROYAL MAIL POSTAGE,-18.00
02/07/2026,TESCO WHOLESALE,-89.00
03/07/2026,DAILY SALES CARD RECEIPTS,1450.00
03/07/2026,COCA COLA ENTERPRISES,-234.00
03/07/2026,BRITISH GAS BUSINESS,-143.00
04/07/2026,DAILY SALES CASH REGISTER,860.00
04/07/2026,HMRC PAYE JULY,-720.00
04/07/2026,SALARY TRANSFER AHMED KHAN,-1200.00
05/07/2026,DAILY SALES CARD RECEIPTS,1320.00
05/07/2026,BOOKER WHOLESALE,-678.00
05/07/2026,BARCLAYS BANK CHARGE,-8.00
06/07/2026,DAILY SALES CASH REGISTER,1100.00
06/07/2026,IMPERIAL TOBACCO SUPPLY,-890.00
06/07/2026,CARD TERMINAL FEES SUMUP,-11.00
07/07/2026,WEEKLY LOTTERY TERMINAL FEE,-45.00
07/07/2026,DAILY SALES CARD RECEIPTS,1580.00
07/07/2026,ATM CASH WITHDRAWAL,-200.00
08/07/2026,DAILY SALES CASH REGISTER,1240.00
08/07/2026,METRO CASH AND CARRY,-512.00
08/07/2026,EDF ENERGY,-98.00
09/07/2026,DAILY SALES CARD RECEIPTS,1090.00
09/07/2026,MARS CONFECTIONERY SUPPLY,-178.00
09/07/2026,ROYAL MAIL POSTAGE,-24.00
10/07/2026,DAILY SALES CASH REGISTER,1360.00
10/07/2026,HMRC VAT Q2 2026,-2340.00
10/07/2026,SALARY TRANSFER PRIYA PATEL,-1100.00
11/07/2026,DAILY SALES CARD RECEIPTS,1420.00
11/07/2026,BOOKER WHOLESALE,-734.00
11/07/2026,THAMES WATER,-45.00
12/07/2026,DAILY SALES CASH REGISTER,890.00
12/07/2026,CARD TERMINAL FEES SUMUP,-8.90
12/07/2026,SHOP INSURANCE AVIVA,-110.00
13/07/2026,DAILY SALES CARD RECEIPTS,1670.00
13/07/2026,IMPERIAL TOBACCO SUPPLY,-945.00
13/07/2026,CLEANING SUPPLIES COSTCO,-67.00
14/07/2026,DAILY SALES CASH REGISTER,1230.00
14/07/2026,METRO CASH AND CARRY,-489.00
14/07/2026,BT BUSINESS BROADBAND,-45.00
15/07/2026,DAILY SALES CARD RECEIPTS,1380.00
15/07/2026,COCA COLA ENTERPRISES,-267.00
15/07/2026,ATM CASH WITHDRAWAL,-150.00
16/07/2026,DAILY SALES CASH REGISTER,960.00
16/07/2026,SALARY TRANSFER AHMED KHAN,-1200.00
16/07/2026,BARCLAYS BANK CHARGE,-8.00
17/07/2026,DAILY SALES CARD RECEIPTS,1540.00
17/07/2026,BOOKER WHOLESALE,-623.00
17/07/2026,BUSINESS RATES PAYMENT,-340.00
18/07/2026,DAILY SALES CASH REGISTER,1120.00
18/07/2026,CARD TERMINAL FEES SUMUP,-11.20
18/07/2026,SHOP REFRIGERATION REPAIR,-280.00
19/07/2026,DAILY SALES CARD RECEIPTS,1290.00
19/07/2026,IMPERIAL TOBACCO SUPPLY,-867.00
19/07/2026,VODAFONE BUSINESS,-35.00
20/07/2026,DAILY SALES CASH REGISTER,1450.00
20/07/2026,METRO CASH AND CARRY,-534.00
20/07/2026,WEEKLY LOTTERY TERMINAL FEE,-45.00
21/07/2026,DAILY SALES CARD RECEIPTS,1610.00
21/07/2026,HMRC PAYE JULY SUPPLEMENT,-180.00
21/07/2026,ROYAL MAIL POSTAGE,-16.00
22/07/2026,DAILY SALES CASH REGISTER,1070.00
22/07/2026,BOOKER WHOLESALE,-712.00
22/07/2026,DIRECTOR DRAWINGS JULY,-1500.00
23/07/2026,DAILY SALES CARD RECEIPTS,1340.00
23/07/2026,COCA COLA ENTERPRISES,-198.00
23/07/2026,CARD TERMINAL FEES SUMUP,-13.40
24/07/2026,DAILY SALES CASH REGISTER,1190.00
24/07/2026,SHOP SIGN MAINTENANCE,-120.00
24/07/2026,EDF ENERGY,-67.00
25/07/2026,DAILY SALES CARD RECEIPTS,1520.00
25/07/2026,IMPERIAL TOBACCO SUPPLY,-923.00
25/07/2026,SALARY TRANSFER PRIYA PATEL,-1100.00
26/07/2026,DAILY SALES CASH REGISTER,1030.00
26/07/2026,METRO CASH AND CARRY,-478.00
26/07/2026,ATM CASH WITHDRAWAL,-100.00
27/07/2026,DAILY SALES CARD RECEIPTS,1460.00
27/07/2026,BOOKER WHOLESALE,-589.00
27/07/2026,BARCLAYS BANK CHARGE,-8.00
28/07/2026,DAILY SALES CASH REGISTER,1680.00
28/07/2026,CARD TERMINAL FEES SUMUP,-16.80
28/07/2026,SHOP INSURANCE AVIVA,-110.00
29/07/2026,DAILY SALES CARD RECEIPTS,1250.00
29/07/2026,IMPERIAL TOBACCO SUPPLY,-834.00
29/07/2026,CLEANING SUPPLIES COSTCO,-45.00
30/07/2026,DAILY SALES CASH REGISTER,1390.00
30/07/2026,COCA COLA ENTERPRISES,-223.00
30/07/2026,BUSINESS RATES PAYMENT,-340.00
31/07/2026,DAILY SALES CARD RECEIPTS,1720.00
31/07/2026,METRO CASH AND CARRY,-567.00
31/07/2026,WEEKLY LOTTERY TERMINAL FEE,-45.00
31/07/2026,TRANSFER TO SAVINGS,-2000.00
